admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Mymensingh Division,46,A6qS2r3JhmZ,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Mymensingh Division,47,A6qS2r3JhmZ,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Mymensingh Division,50,A6qS2r3JhmZ,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Mymensingh Division,40,A6qS2r3JhmZ,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Mymensingh Division,62,A6qS2r3JhmZ,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Mymensingh Division,70,A6qS2r3JhmZ,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Mymensingh Division,40,A6qS2r3JhmZ,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Mymensingh Division,62,A6qS2r3JhmZ,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Mymensingh Division,81,A6qS2r3JhmZ,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Mymensingh Division,8086,A6qS2r3JhmZ,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Mymensingh Division,6884,A6qS2r3JhmZ,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Mymensingh Division,9332,A6qS2r3JhmZ,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Mymensingh Division,529,A6qS2r3JhmZ,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Mymensingh Division,326,A6qS2r3JhmZ,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Mymensingh Division,316,A6qS2r3JhmZ,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Barishal Division,208,A7kNf3J1dYe,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Barishal Division,158,A7kNf3J1dYe,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Barishal Division,147,A7kNf3J1dYe,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Barishal Division,145,A7kNf3J1dYe,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Barishal Division,123,A7kNf3J1dYe,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Barishal Division,186,A7kNf3J1dYe,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Barishal Division,31,A7kNf3J1dYe,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Barishal Division,12,A7kNf3J1dYe,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Barishal Division,13,A7kNf3J1dYe,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Barishal Division,10,A7kNf3J1dYe,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Barishal Division,10,A7kNf3J1dYe,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Barishal Division,10,A7kNf3J1dYe,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Barishal Division,12,A7kNf3J1dYe,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Barishal Division,10,A7kNf3J1dYe,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Barishal Division,5083,A7kNf3J1dYe,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Barishal Division,4349,A7kNf3J1dYe,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Barishal Division,1768,A7kNf3J1dYe,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Barishal Division,192,A7kNf3J1dYe,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Barishal Division,177,A7kNf3J1dYe,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Barishal Division,142,A7kNf3J1dYe,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Dhaka Division,2047,A8Ua1HG8IUP,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Dhaka Division,1753,A8Ua1HG8IUP,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Dhaka Division,2141,A8Ua1HG8IUP,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Dhaka Division,866,A8Ua1HG8IUP,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Dhaka Division,773,A8Ua1HG8IUP,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Dhaka Division,999,A8Ua1HG8IUP,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Barishal Division,222,AAkm9AltRT5,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Barishal Division,179,AAkm9AltRT5,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Barishal Division,245,AAkm9AltRT5,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Barishal Division,133,AAkm9AltRT5,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Barishal Division,111,AAkm9AltRT5,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
